user,date,tube,lineage,replicate
RAB,10/10/2023,1,HA-HH,2
RAB,10/10/2023,2,HA-HH,2
RAB,10/10/2023,3,HA-HH,2
RAB,10/10/2023,4,HH-HH,3
RAB,10/10/2023,5,HA-HH,2
RAB,10/10/2023,6,HH-HH,3
RAB,10/10/2023,7,HH-HH,3
RAB,10/10/2023,8,HA-HH,2
RAB,10/10/2023,9,HH-HH,3
RAB,10/10/2023,10,HH-HH,3
