user,date,tube,lineage,replicate
RAB,10/6/2023,1,HA-HH,3
RAB,10/6/2023,2,HH-HH,4
RAB,10/6/2023,3,HA-HH,1
RAB,10/6/2023,4,HA-HH,1
RAB,10/6/2023,5,HA-HH,3
RAB,10/6/2023,6,HH-HH,1
RAB,10/6/2023,7,HA-HH,3
RAB,10/6/2023,8,HH-HH,4
RAB,10/6/2023,9,HA-HH,1
RAB,10/6/2023,10,HH-HH,4
