user,date,tube,lineage,replicate
RAB,9/3/2023,1,HH-HA,3
RAB,9/3/2023,2,HH-HA,3
RAB,9/3/2023,3,HA-HA,4
RAB,9/3/2023,4,HA-HA,4
RAB,9/3/2023,5,HA-HA,4
RAB,9/3/2023,6,HH-HA,3
RAB,9/3/2023,7,HA-HA,4
RAB,9/3/2023,8,HA-HA,4
RAB,9/3/2023,9,HH-HA,3
RAB,9/3/2023,10,HH-HA,3
