Date UTC, Time UTC, Temp1 *C, Temp2 *C, Temp3 *C
2023/7/5, 18:27:37, 21.859, 21.898, 21.805
2023/7/5, 18:27:40, 21.867, 21.906, 21.820
2023/7/5, 18:27:50, 21.875, 21.906, 21.836
2023/7/5, 18:28:0, 21.891, 21.922, 21.844
2023/7/5, 18:28:10, 21.898, 21.938, 21.852
2023/7/5, 18:28:20, 21.906, 21.961, 21.859
2023/7/5, 18:28:30, 21.922, 21.969, 21.883
2023/7/5, 18:28:40, 21.930, 21.984, 21.883
2023/7/5, 18:28:50, 21.953, 22.016, 21.898
2023/7/5, 18:29:0, 21.969, 22.031, 21.914
2023/7/5, 18:29:10, 21.992, 22.055, 21.930
2023/7/5, 18:29:20, 22.008, 22.086, 21.945
2023/7/5, 18:29:30, 22.039, 22.109, 21.969
2023/7/5, 18:29:40, 22.063, 22.133, 21.984
2023/7/5, 18:29:50, 22.086, 22.172, 22.008
2023/7/5, 18:30:0, 22.117, 22.195, 22.031
2023/7/5, 18:30:10, 22.148, 22.227, 22.055
2023/7/5, 18:30:20, 22.172, 22.250, 22.078
2023/7/5, 18:30:30, 22.211, 22.289, 22.109
2023/7/5, 18:30:40, 22.234, 22.320, 22.133
2023/7/5, 18:30:50, 22.266, 22.352, 22.164
2023/7/5, 18:31:0, 22.297, 22.391, 22.195
2023/7/5, 18:31:10, 22.336, 22.422, 22.227
2023/7/5, 18:31:20, 22.367, 22.453, 22.258
2023/7/5, 18:31:30, 22.398, 22.484, 22.289
2023/7/5, 18:31:40, 22.430, 22.516, 22.328
2023/7/5, 18:31:50, 22.461, 22.555, 22.359
2023/7/5, 18:32:0, 22.492, 22.594, 22.391
2023/7/5, 18:32:10, 22.531, 22.625, 22.430
2023/7/5, 18:32:20, 22.563, 22.656, 22.469
2023/7/5, 18:32:30, 22.594, 22.688, 22.492
2023/7/5, 18:32:40, 22.633, 22.719, 22.531
2023/7/5, 18:32:50, 22.672, 22.758, 22.563
2023/7/5, 18:33:0, 22.695, 22.797, 22.609
2023/7/5, 18:33:10, 22.734, 22.820, 22.641
2023/7/5, 18:33:20, 22.773, 22.867, 22.680
2023/7/5, 18:33:30, 22.813, 22.898, 22.719
2023/7/5, 18:33:40, 22.844, 22.938, 22.750
2023/7/5, 18:33:50, 22.875, 22.969, 22.797
2023/7/5, 18:34:0, 22.922, 23.008, 22.828
2023/7/5, 18:34:10, 22.953, 23.039, 22.867
2023/7/5, 18:34:20, 22.992, 23.070, 22.906
2023/7/5, 18:34:30, 23.023, 23.117, 22.945
2023/7/5, 18:34:40, 23.063, 23.148, 22.984
2023/7/5, 18:34:50, 23.094, 23.188, 23.023
2023/7/5, 18:35:0, 23.133, 23.211, 23.055
2023/7/5, 18:35:10, 23.172, 23.250, 23.094
2023/7/5, 18:35:20, 23.203, 23.289, 23.133
2023/7/5, 18:35:30, 23.234, 23.313, 23.172
2023/7/5, 18:35:40, 23.273, 23.359, 23.203
2023/7/5, 18:35:50, 23.313, 23.391, 23.242
2023/7/5, 18:36:0, 23.352, 23.422, 23.281
2023/7/5, 18:36:10, 23.383, 23.461, 23.320
2023/7/5, 18:36:20, 23.414, 23.500, 23.359
2023/7/5, 18:36:30, 23.453, 23.531, 23.398
2023/7/5, 18:36:40, 23.492, 23.570, 23.438
2023/7/5, 18:36:50, 23.539, 23.602, 23.477
2023/7/5, 18:37:0, 23.570, 23.641, 23.516
2023/7/5, 18:37:10, 23.594, 23.672, 23.555
2023/7/5, 18:37:20, 23.641, 23.703, 23.594
2023/7/5, 18:37:30, 23.672, 23.742, 23.625
2023/7/5, 18:37:40, 23.711, 23.781, 23.664
2023/7/5, 18:37:50, 23.750, 23.813, 23.703
2023/7/5, 18:38:0, 23.781, 23.844, 23.742
2023/7/5, 18:38:10, 23.820, 23.883, 23.781
2023/7/5, 18:38:20, 23.859, 23.922, 23.820
2023/7/5, 18:38:30, 23.898, 23.961, 23.859
2023/7/5, 18:38:40, 23.930, 23.992, 23.891
2023/7/5, 18:38:50, 23.961, 24.023, 23.930
2023/7/5, 18:39:0, 23.992, 24.063, 23.969
2023/7/5, 18:39:10, 24.031, 24.094, 24.008
2023/7/5, 18:39:20, 24.070, 24.133, 24.047
2023/7/5, 18:39:30, 24.117, 24.172, 24.086
2023/7/5, 18:39:40, 24.148, 24.203, 24.125
2023/7/5, 18:39:50, 24.195, 24.250, 24.172
2023/7/5, 18:40:0, 24.227, 24.273, 24.203
2023/7/5, 18:40:10, 24.266, 24.313, 24.242
2023/7/5, 18:40:20, 24.297, 24.352, 24.273
2023/7/5, 18:40:30, 24.336, 24.391, 24.320
2023/7/5, 18:40:40, 24.367, 24.422, 24.359
2023/7/5, 18:40:50, 24.414, 24.461, 24.391
2023/7/5, 18:41:0, 24.445, 24.500, 24.422
2023/7/5, 18:41:10, 24.484, 24.531, 24.469
2023/7/5, 18:41:20, 24.523, 24.570, 24.508
2023/7/5, 18:41:30, 24.563, 24.602, 24.539
