user,date,tube,lineage,replicate
RAB,8/2/2023,1,HA-AA,2
RAB,8/2/2023,2,AA-AA,1
RAB,8/2/2023,3,AA-AA,1
RAB,8/2/2023,4,HA-AA,2
RAB,8/2/2023,5,AA-AA,1
RAB,8/2/2023,6,HA-AA,2
RAB,8/2/2023,7,HA-AA,2
RAB,8/2/2023,8,AA-AA,1
RAB,8/2/2023,9,HA-AA,2
RAB,8/2/2023,10,AA-AA,1
