user,date,tube,lineage,replicate
RAB,8/2/2023,1,AA-AA,4
RAB,8/2/2023,2,HA-AA,3
RAB,8/2/2023,3,AA-AA,4
RAB,8/2/2023,4,AA-AA,4
RAB,8/2/2023,5,AA-AA,4
RAB,8/2/2023,6,HA-AA,3
RAB,8/2/2023,7,AA-AA,4
RAB,8/2/2023,8,HA-AA,4
RAB,8/2/2023,9,HA-AA,4
RAB,8/2/2023,10,HA-AA,4
