user,date,tube,lineage,replicate
RAB,8/1/2023,1,AA-AA,2
RAB,8/1/2023,2,HA-AA,1
RAB,8/1/2023,3,HA-AA,1
RAB,8/1/2023,4,AA-AA,2
RAB,8/1/2023,5,HA-AA,1
RAB,8/1/2023,6,HA-AA,1
RAB,8/1/2023,7,AA-AA,2
RAB,8/1/2023,8,HA-AA,1
RAB,8/1/2023,9,AA-AA,2
RAB,8/1/2023,10,AA-AA,2
