Date UTC, Time UTC, Temp1 *C, Temp2 *C, Temp3 *C
2023/9/3, 21:57:10, 21.750, 21.656, 21.695
2023/9/3, 21:57:20, 21.773, 21.672, 21.727
2023/9/3, 21:57:30, 21.781, 21.688, 21.734
2023/9/3, 21:57:40, 21.797, 21.695, 21.742
2023/9/3, 21:57:50, 21.805, 21.703, 21.758
2023/9/3, 21:58:0, 21.813, 21.719, 21.766
2023/9/3, 21:58:10, 21.828, 21.727, 21.789
2023/9/3, 21:58:20, 21.844, 21.734, 21.797
2023/9/3, 21:58:30, 21.859, 21.742, 21.797
2023/9/3, 21:58:40, 21.875, 21.758, 21.820
2023/9/3, 21:58:50, 21.898, 21.766, 21.836
2023/9/3, 21:59:0, 21.906, 21.773, 21.852
2023/9/3, 21:59:10, 21.922, 21.797, 21.875
2023/9/3, 21:59:20, 21.945, 21.805, 21.891
2023/9/3, 21:59:30, 21.969, 21.820, 21.914
2023/9/3, 21:59:40, 21.984, 21.828, 21.930
2023/9/3, 21:59:50, 22.008, 21.844, 21.969
2023/9/3, 22:0:0, 22.023, 21.859, 21.992
2023/9/3, 22:0:10, 22.055, 21.875, 22.016
2023/9/3, 22:0:20, 22.078, 21.898, 22.047
2023/9/3, 22:0:30, 22.102, 21.922, 22.063
2023/9/3, 22:0:40, 22.125, 21.938, 22.086
2023/9/3, 22:0:50, 22.141, 21.961, 22.117
2023/9/3, 22:1:0, 22.172, 21.992, 22.141
2023/9/3, 22:1:10, 22.195, 22.023, 22.164
2023/9/3, 22:1:20, 22.219, 22.055, 22.195
2023/9/3, 22:1:30, 22.242, 22.086, 22.219
2023/9/3, 22:1:40, 22.266, 22.109, 22.242
2023/9/3, 22:1:50, 22.305, 22.133, 22.273
2023/9/3, 22:2:0, 22.344, 22.164, 22.320
2023/9/3, 22:2:10, 22.398, 22.188, 22.375
2023/9/3, 22:2:20, 22.445, 22.211, 22.406
2023/9/3, 22:2:30, 22.484, 22.242, 22.445
2023/9/3, 22:2:40, 22.516, 22.266, 22.484
2023/9/3, 22:2:50, 22.547, 22.297, 22.523
2023/9/3, 22:3:0, 22.578, 22.336, 22.547
2023/9/3, 22:3:10, 22.633, 22.375, 22.594
2023/9/3, 22:3:20, 22.664, 22.406, 22.633
2023/9/3, 22:3:30, 22.703, 22.445, 22.664
2023/9/3, 22:3:40, 22.742, 22.492, 22.719
2023/9/3, 22:3:50, 22.781, 22.523, 22.758
2023/9/3, 22:4:0, 22.820, 22.570, 22.805
2023/9/3, 22:4:10, 22.859, 22.609, 22.844
2023/9/3, 22:4:20, 22.898, 22.656, 22.883
2023/9/3, 22:4:30, 22.938, 22.703, 22.930
2023/9/3, 22:4:40, 22.977, 22.750, 22.961
2023/9/3, 22:4:50, 23.016, 22.805, 23.000
2023/9/3, 22:5:0, 23.055, 22.844, 23.039
2023/9/3, 22:5:10, 23.102, 22.883, 23.078
2023/9/3, 22:5:20, 23.156, 22.922, 23.117
2023/9/3, 22:5:30, 23.203, 22.969, 23.156
2023/9/3, 22:5:40, 23.242, 23.023, 23.195
2023/9/3, 22:5:50, 23.281, 23.063, 23.242
2023/9/3, 22:6:0, 23.328, 23.109, 23.281
2023/9/3, 22:6:10, 23.375, 23.148, 23.328
2023/9/3, 22:6:20, 23.414, 23.188, 23.383
2023/9/3, 22:6:30, 23.469, 23.234, 23.438
2023/9/3, 22:6:40, 23.516, 23.273, 23.484
2023/9/3, 22:6:50, 23.563, 23.328, 23.531
2023/9/3, 22:7:0, 23.602, 23.367, 23.570
2023/9/3, 22:7:10, 23.641, 23.414, 23.609
2023/9/3, 22:7:20, 23.688, 23.461, 23.656
2023/9/3, 22:7:30, 23.727, 23.508, 23.695
2023/9/3, 22:7:40, 23.758, 23.555, 23.742
2023/9/3, 22:7:50, 23.797, 23.594, 23.781
2023/9/3, 22:8:0, 23.836, 23.633, 23.828
2023/9/3, 22:8:10, 23.875, 23.680, 23.867
2023/9/3, 22:8:20, 23.922, 23.727, 23.906
2023/9/3, 22:8:30, 23.969, 23.766, 23.953
