Date UTC, Time UTC, Temp1 *C, Temp2 *C, Temp3 *C
2023/9/1, 13:58:32, 21.578, 21.492, 21.516
2023/9/1, 13:58:40, 21.594, 21.508, 21.539
2023/9/1, 13:58:50, 21.609, 21.523, 21.555
2023/9/1, 13:59:0, 21.617, 21.523, 21.555
2023/9/1, 13:59:10, 21.625, 21.531, 21.563
2023/9/1, 13:59:20, 21.633, 21.547, 21.570
2023/9/1, 13:59:30, 21.648, 21.555, 21.586
2023/9/1, 13:59:40, 21.664, 21.563, 21.594
2023/9/1, 13:59:50, 21.680, 21.570, 21.609
2023/9/1, 14:0:0, 21.695, 21.578, 21.625
2023/9/1, 14:0:10, 21.711, 21.594, 21.633
2023/9/1, 14:0:20, 21.734, 21.609, 21.648
2023/9/1, 14:0:30, 21.758, 21.617, 21.664
2023/9/1, 14:0:40, 21.773, 21.633, 21.688
2023/9/1, 14:0:50, 21.797, 21.656, 21.703
2023/9/1, 14:1:0, 21.828, 21.680, 21.727
2023/9/1, 14:1:10, 21.844, 21.695, 21.750
2023/9/1, 14:1:20, 21.883, 21.719, 21.773
2023/9/1, 14:1:30, 21.922, 21.750, 21.797
2023/9/1, 14:1:40, 21.945, 21.766, 21.828
2023/9/1, 14:1:50, 21.969, 21.797, 21.859
2023/9/1, 14:2:0, 22.008, 21.828, 21.883
2023/9/1, 14:2:10, 22.039, 21.859, 21.922
2023/9/1, 14:2:20, 22.070, 21.883, 21.945
2023/9/1, 14:2:30, 22.109, 21.914, 21.984
2023/9/1, 14:2:40, 22.148, 21.953, 22.016
2023/9/1, 14:2:50, 22.180, 21.984, 22.047
2023/9/1, 14:3:0, 22.219, 22.047, 22.086
2023/9/1, 14:3:10, 22.266, 22.109, 22.164
2023/9/1, 14:3:20, 22.305, 22.148, 22.195
2023/9/1, 14:3:30, 22.352, 22.188, 22.219
2023/9/1, 14:3:40, 22.391, 22.227, 22.250
2023/9/1, 14:3:50, 22.430, 22.250, 22.273
2023/9/1, 14:4:0, 22.477, 22.281, 22.305
2023/9/1, 14:4:10, 22.516, 22.328, 22.336
2023/9/1, 14:4:20, 22.555, 22.359, 22.367
2023/9/1, 14:4:30, 22.594, 22.391, 22.398
2023/9/1, 14:4:40, 22.633, 22.430, 22.438
2023/9/1, 14:4:50, 22.664, 22.469, 22.469
2023/9/1, 14:5:0, 22.711, 22.500, 22.516
2023/9/1, 14:5:10, 22.750, 22.539, 22.547
2023/9/1, 14:5:20, 22.797, 22.578, 22.586
2023/9/1, 14:5:30, 22.828, 22.617, 22.625
2023/9/1, 14:5:40, 22.875, 22.656, 22.664
2023/9/1, 14:5:50, 22.914, 22.695, 22.703
2023/9/1, 14:6:0, 22.945, 22.742, 22.742
2023/9/1, 14:6:10, 23.000, 22.773, 22.781
2023/9/1, 14:6:20, 23.031, 22.813, 22.828
2023/9/1, 14:6:30, 23.070, 22.859, 22.875
2023/9/1, 14:6:40, 23.109, 22.898, 22.914
2023/9/1, 14:6:50, 23.156, 22.938, 22.945
2023/9/1, 14:7:0, 23.195, 22.969, 22.992
2023/9/1, 14:7:10, 23.234, 23.023, 23.023
2023/9/1, 14:7:20, 23.266, 23.055, 23.070
2023/9/1, 14:7:30, 23.313, 23.102, 23.109
2023/9/1, 14:7:40, 23.352, 23.133, 23.156
2023/9/1, 14:7:50, 23.391, 23.180, 23.188
2023/9/1, 14:8:0, 23.430, 23.219, 23.227
2023/9/1, 14:8:10, 23.477, 23.258, 23.273
2023/9/1, 14:8:20, 23.516, 23.305, 23.305
2023/9/1, 14:8:30, 23.555, 23.336, 23.352
2023/9/1, 14:8:40, 23.602, 23.383, 23.391
2023/9/1, 14:8:50, 23.641, 23.422, 23.430
2023/9/1, 14:9:0, 23.680, 23.469, 23.477
2023/9/1, 14:9:10, 23.711, 23.508, 23.516
2023/9/1, 14:9:20, 23.758, 23.547, 23.563
2023/9/1, 14:9:30, 23.797, 23.594, 23.594
2023/9/1, 14:9:40, 23.836, 23.633, 23.641
2023/9/1, 14:9:50, 23.875, 23.664, 23.680
2023/9/1, 14:10:0, 23.914, 23.711, 23.719
2023/9/1, 14:10:10, 23.953, 23.750, 23.758
2023/9/1, 14:10:20, 23.992, 23.797, 23.805
2023/9/1, 14:10:30, 24.039, 23.836, 23.836
2023/9/1, 14:10:40, 24.063, 23.875, 23.883
2023/9/1, 14:10:50, 24.109, 23.922, 23.922
2023/9/1, 14:11:0, 24.156, 23.953, 23.961
2023/9/1, 14:11:10, 24.195, 23.992, 24.000
2023/9/1, 14:11:20, 24.234, 24.039, 24.047
2023/9/1, 14:11:30, 24.266, 24.078, 24.086
2023/9/1, 14:11:40, 24.313, 24.125, 24.125
2023/9/1, 14:11:50, 24.336, 24.156, 24.164
2023/9/1, 14:12:0, 24.383, 24.195, 24.203
2023/9/1, 14:12:10, 24.422, 24.242, 24.250
2023/9/1, 14:12:20, 24.461, 24.273, 24.289
2023/9/1, 14:12:30, 24.500, 24.320, 24.320
2023/9/1, 14:12:40, 24.539, 24.359, 24.367
2023/9/1, 14:12:50, 24.578, 24.398, 24.406
2023/9/1, 14:13:0, 24.617, 24.438, 24.445
2023/9/1, 14:13:10, 24.656, 24.477, 24.484
2023/9/1, 14:13:20, 24.688, 24.523, 24.523
2023/9/1, 14:13:30, 24.734, 24.555, 24.563
2023/9/1, 14:13:40, 24.773, 24.594, 24.602
2023/9/1, 14:13:50, 24.813, 24.641, 24.648
2023/9/1, 14:14:0, 24.852, 24.680, 24.680
2023/9/1, 14:14:10, 24.891, 24.711, 24.719
2023/9/1, 14:14:20, 24.922, 24.750, 24.758
2023/9/1, 14:14:30, 24.969, 24.797, 24.805
2023/9/1, 14:14:40, 25.008, 24.844, 24.836
2023/9/1, 14:14:50, 25.047, 24.875, 24.883
2023/9/1, 14:15:0, 25.086, 24.914, 24.922
2023/9/1, 14:15:10, 25.117, 24.953, 24.961
2023/9/1, 14:15:20, 25.156, 25.000, 25.000
2023/9/1, 14:15:30, 25.195, 25.031, 25.039
2023/9/1, 14:15:40, 25.234, 25.078, 25.070
2023/9/1, 14:15:50, 25.273, 25.117, 25.117
2023/9/1, 14:16:0, 25.313, 25.156, 25.156
2023/9/1, 14:16:10, 25.344, 25.188, 25.195
2023/9/1, 14:16:20, 25.391, 25.227, 25.234
2023/9/1, 14:16:30, 25.422, 25.273, 25.273
2023/9/1, 14:16:40, 25.469, 25.313, 25.313
2023/9/1, 14:16:50, 25.500, 25.344, 25.352
2023/9/1, 14:17:0, 25.539, 25.391, 25.383
2023/9/1, 14:17:10, 25.578, 25.414, 25.422
2023/9/1, 14:17:20, 25.609, 25.469, 25.477
2023/9/1, 14:17:30, 25.648, 25.500, 25.508
2023/9/1, 14:17:40, 25.688, 25.555, 25.547
2023/9/1, 14:17:50, 25.727, 25.586, 25.578
2023/9/1, 14:18:0, 25.766, 25.625, 25.617
2023/9/1, 14:18:10, 25.805, 25.656, 25.656
2023/9/1, 14:18:20, 25.844, 25.703, 25.695
2023/9/1, 14:18:30, 25.883, 25.742, 25.734
2023/9/1, 14:18:40, 25.922, 25.789, 25.773
2023/9/1, 14:18:50, 25.953, 25.813, 25.813
2023/9/1, 14:19:0, 26.000, 25.859, 25.852
2023/9/1, 14:19:10, 26.039, 25.891, 25.891
2023/9/1, 14:19:20, 26.070, 25.930, 25.930
2023/9/1, 14:19:30, 26.117, 25.969, 25.969
2023/9/1, 14:19:40, 26.156, 26.008, 26.016
2023/9/1, 14:19:50, 26.195, 26.047, 26.055
2023/9/1, 14:20:0, 26.234, 26.094, 26.094
2023/9/1, 14:20:10, 26.273, 26.125, 26.133
2023/9/1, 14:20:20, 26.305, 26.172, 26.172
2023/9/1, 14:20:30, 26.352, 26.211, 26.211
2023/9/1, 14:20:40, 26.383, 26.250, 26.242
2023/9/1, 14:20:50, 26.422, 26.281, 26.281
2023/9/1, 14:21:0, 26.469, 26.320, 26.328
2023/9/1, 14:21:10, 26.500, 26.352, 26.367
2023/9/1, 14:21:20, 26.539, 26.398, 26.398
2023/9/1, 14:21:30, 26.578, 26.438, 26.438
2023/9/1, 14:21:40, 26.617, 26.484, 26.477
2023/9/1, 14:21:50, 26.664, 26.516, 26.516
2023/9/1, 14:22:0, 26.695, 26.555, 26.563
2023/9/1, 14:22:10, 26.727, 26.594, 26.594
2023/9/1, 14:22:20, 26.766, 26.633, 26.633
2023/9/1, 14:22:30, 26.820, 26.672, 26.672
2023/9/1, 14:22:40, 26.852, 26.711, 26.711
2023/9/1, 14:22:50, 26.898, 26.742, 26.750
2023/9/1, 14:23:0, 26.922, 26.781, 26.789
2023/9/1, 14:23:10, 26.969, 26.828, 26.820
2023/9/1, 14:23:20, 27.000, 26.867, 26.875
2023/9/1, 14:23:30, 27.047, 26.906, 26.906
2023/9/1, 14:23:40, 27.086, 26.945, 26.945
2023/9/1, 14:23:50, 27.117, 26.977, 26.984
2023/9/1, 14:24:0, 27.148, 27.023, 27.016
2023/9/1, 14:24:10, 27.195, 27.055, 27.055
2023/9/1, 14:24:20, 27.234, 27.102, 27.102
2023/9/1, 14:24:30, 27.266, 27.133, 27.133
