user,date,tube,lineage,replicate
RAB,12/13/2022,1,AA,1
RAB,12/13/2022,2,AH,3
RAB,12/13/2022,3,HA,4
RAB,12/13/2022,4,HH,4
RAB,12/13/2022,5,HA,4
RAB,12/13/2022,6,HA,4
RAB,12/13/2022,7,AA,1
RAB,12/13/2022,8,AA,1
RAB,12/13/2022,9,HA,4
RAB,12/13/2022,10,AA,1
